Id,year,brand,price,distance_travelled(kms),fuel_type,new_and_less_used
410,2012,Audi,1650000,65000,Diesel,0
411,2015,Maruti Suzuki,465000,58000,Petrol,0
412,2019,Toyota,2325000,38000,Diesel,0
413,2019,Tata,1625000,12000,Diesel,1
414,2018,Maruti Suzuki,895000,27000,Petrol,1
415,2017,Mercedes-Benz,4300000,17000,Petrol,1
416,2016,Volvo,1750000,78000,Diesel,0
417,2018,Mercedes-Benz,4700000,38200,Diesel,0
418,2020,Land Rover,5900000,9000,Diesel,1
419,2018,Mercedes-Benz,4500000,43000,Diesel,0
420,2019,Mercedes-Benz,11000000,7111,Diesel,1
421,2015,Mercedes-Benz,2050000,18000,Petrol,0
422,2018,Mercedes-Benz,4500000,43000,Diesel,0
423,2018,Mercedes-Benz,4700000,38200,Diesel,0
424,2014,Mercedes-Benz,1275000,56000,Diesel,0
425,2017,Mercedes-Benz,2575000,22500,Diesel,1
426,2010,Mitsubishi,550000,75000,Petrol,0
427,2018,BMW,4200000,24000,Diesel,1
428,2014,Audi,2390000,57000,Diesel,0
429,2020,Mercedes-Benz,5700000,9000,Diesel,1
430,2019,Toyota,2175000,15800,Petrol,1
431,2019,Honda,1145000,21963,Petrol,1
432,2013,Hyundai,370000,49350,Petrol,0
433,2019,Mahindra,1675000,53500,Diesel,0
434,2018,Jeep,1650000,16000,Petrol,1
435,2012,Honda,235000,65000,Petrol,0
436,2019,MG,1640000,24000,Petrol,1
437,2019,Maruti Suzuki,635000,13000,Petrol,1
438,2010,Maruti Suzuki,125000,71000,Petrol,0
439,2017,BMW,4700000,47000,Petrol,0
440,2018,Maruti Suzuki,910000,34000,Petrol,0
441,2017,Honda,720000,73000,Diesel,0
442,2018,Maruti Suzuki,635000,70000,Diesel,0
443,2021,Mahindra,1850000,4000,Petrol,1
444,2010,Honda,310000,58000,Petrol,0
445,2016,Maruti Suzuki,460000,29000,Petrol,0
446,2019,Jaguar,3390000,18000,Petrol,1
447,2018,Mercedes-Benz,5175000,14880,Diesel,1
449,2012,Maruti Suzuki,320000,80000,Petrol,0
450,2020,Mercedes-Benz,3000000,4000,Diesel,1
451,2009,Maruti Suzuki,135000,75000,Petrol,0
452,2019,Maruti Suzuki,635000,13000,Petrol,1
453,2018,Maruti Suzuki,910000,34000,Petrol,0
454,2017,Ford,2750000,50000,Diesel,0
455,2020,Kia,1850000,5800,Petrol,1
456,2017,BMW,4700000,47000,Petrol,0
457,2016,Ford,7300000,23000,Petrol,0
458,2014,Honda,325000,52000,Petrol,0
459,2017,Honda,720000,73000,Diesel,0
460,2018,Maruti Suzuki,635000,70000,Diesel,0
461,2014,Hyundai,395000,23000,Petrol,0
462,2017,BMW,2350000,48000,Diesel,0
463,2020,Mercedes-Benz,5600000,8000,Diesel,1
464,2020,MG,1825000,45000,Petrol,0
466,2016,Renault,545000,50000,Diesel,0
467,2010,Honda,310000,58000,Petrol,0
468,2016,Maruti Suzuki,460000,29000,Petrol,0
469,2012,Hyundai,245000,52000,Petrol,0
470,2017,Ford,2950000,31000,Diesel,0
471,2019,Maruti Suzuki,635000,13000,Petrol,1
